10,14
10,14
10,14
10,14
10,14
10,14
10,14
10,14
10,14
10,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,12
9,12
9,13
9,13
9,13
9,13
9,13
9,13
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,12
10,12
10,11
10,11
10,11
10,11
10,13
10,13
10,13
11,13
11,13
11,13
11,12
11,12
11,13
11,13
11,14
11,14
11,13
11,13
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
12,14
12,15
12,15
12,14
12,14
12,14
12,14
12,14
12,14
12,14
12,14
12,14
12,14
12,13
12,13
12,13
12,13
12,14
12,14
12,14
12,14
12,13
12,13
12,12
12,12
12,13
12,13
12,13
12,13
12,13
12,13
12,13
12,13
12,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,11
11,11
11,12
10,12
10,12
10,12
10,12
10,12
10,11
10,11
10,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,13
9,13
9,13
9,13
9,13
9,13
9,14
9,14
9,14
9,14
9,15
9,15
9,14
9,14
9,14
10,14
10,14
10,14
10,15
10,15
10,14
11,14
11,13
11,13
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
12,14
12,15
12,15
12,13
12,13
12,14
12,14
12,14
12,14
12,15
12,15
12,13
11,13
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,13
11,13
11,13
10,13
10,14
10,14
10,13
9,13
9,13
9,13
9,13
8,13
8,14
7,14
7,13
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,12
6,12
6,13
7,13
7,13
7,13
7,13
7,13
7,13
7,13
7,13
8,13
8,13
8,13
8,13
8,13
8,12
8,12
8,12
8,12
8,12
9,12
9,12
9,12
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,10
8,10
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,10
9,10
9,11
9,11
9,11
9,11
9,10
10,10
10,10
10,10
10,11
10,11
10,11
10,11
10,12
10,12
10,11
10,11
10,11
11,11
11,12
11,12
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,14
11,14
11,13
11,13
11,14
11,14
11,14
11,14
11,14
11,14
11,13
10,13
10,13
10,13
10,14
10,14
10,14
10,14
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,11
11,11
11,12
11,12
11,13
11,13
11,12
10,12
10,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
12,13
12,13
12,13
12,13
13,13
13,13
13,13
13,11
13,11
13,12
13,12
13,12
13,12
13,12
13,12
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,13
13,13
13,13
13,13
13,14
13,14
13,13
13,13
13,13
13,13
13,14
13,14
13,15
13,15
13,13
13,13
13,13
13,13
13,14
13,14
13,14
13,14
13,14
13,14
13,13
13,13
13,13
13,13
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,15
13,15
13,14
13,14
13,15
13,15
13,15
13,15
13,15
13,15
13,14
13,14
13,15
13,15
13,15
13,15
13,15
13,15
13,14
13,14
13,13
13,13
13,13
13,13
13,14
13,14
13,13
13,13
13,12
13,12
13,12
13,12
13,13
13,13
13,12
13,12
13,12
12,12
12,12
13,12
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,12
12,12
12,13
12,13
12,13
12,13
12,13
12,13
12,11
11,11
11,11
11,11
11,13
11,13
11,13
11,13
11,12
12,12
12,12
13,12
13,13
13,13
13,14
14,14
14,13
14,13
14,14
14,14
14,14
14,14
14,15
15,15
15,14
15,14
15,14
15,14
15,14
15,14
15,15
15,15
15,14
15,14
15,13
15,13
15,14
15,14
15,14
15,14
15,15
15,15
15,13
14,13
14,13
14,13
14,14
15,14
15,14
15,14
15,14
14,14
14,14
14,14
14,15
14,15
14,15
14,15
14,14
14,14
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,14
14,14
14,14
14,14
14,15
14,15
14,14
14,14
14,13
14,13
14,14
14,14
14,14
14,14
14,13
13,13
13,12
13,12
13,13
13,13
13,13
13,13
13,14
13,14
13,13
13,13
13,14
13,14
13,14
13,14
13,14
13,14
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,12
14,12
14,12
14,12
14,12
14,12
14,13
15,13
15,12
15,12
15,12
15,12
15,12
15,12
15,12
15,12
15,13
15,13
15,12
15,12
15,12
15,12
15,12
15,12
15,12
15,12
15,11
15,11
15,11
14,11
14,11
14,11
14,12
14,12
14,11
14,11
14,11
13,11
13,11
13,11
13,11
13,11
13,10
12,10
12,11
11,11
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,14
11,14
11,14
11,14
11,14
12,14
12,14
12,14
12,15
13,15
13,15
13,15
13,15
13,15
13,15
13,15
13,15
13,15
13,15
13,15
13,15
14,15
14,14
14,14
14,14
14,14
14,15
14,15
14,14
14,14
14,13
14,13
14,14
14,14
14,14
14,14
14,14
14,14
14,13
14,13
14,13
14,13
14,14
14,14
14,14
14,14
14,13
14,13
14,14
14,14
14,14
14,14
14,14
14,14
14,14
13,14
13,14
13,14
13,14
14,14
14,14
13,14
13,14
13,14
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,12
13,12
13,11
13,11
13,12
13,12
13,13
13,13
13,12
13,12
13,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,13
11,13
11,13
11,13
11,12
13,12
13,11
14,11
14,11
14,11
14,12
15,12
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,10
15,10
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,10
15,10
15,11
15,11
15,12
15,12
15,13
15,13
15,12
15,12
15,12
15,12
15,13
15,13
15,13
15,13
15,13
15,13
15,12
15,12
15,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,14
14,14
14,14
14,14
14,13
14,13
14,14
14,14
14,14
14,14
14,14
14,14
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,12
13,12
13,12
13,12
13,13
13,13
13,13
13,13
13,11
14,11
14,11
14,11
14,11
14,11
14,12
15,12
15,11
15,11
15,11
15,11
15,12
15,12
15,12
15,12
15,12
15,12
15,12
15,12
15,12
15,12
15,12
15,12
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,10
15,10
15,11
15,11
15,11
15,11
15,13
15,13
15,13
15,13
15,13
15,13
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,14
15,15
15,15
15,15
15,15
15,14
15,14
15,14
15,14
15,14
15,14
15,15
15,15
15,13
15,13
15,13
15,13
15,14
14,14
14,14
14,14
14,13
15,13
15,13
15,13
15,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,13
14,13
14,14
14,14
14,14
14,14
14,14
14,14
14,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,11
13,11
13,12
12,12
12,13
12,13
12,12
13,12
13,11
12,11
12,11
12,11
12,11
12,11
12,12
12,12
12,12
12,12
12,12
12,12
12,13
12,13
12,12
12,12
12,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,11
12,11
12,12
13,12
13,12
13,12
13,12
13,12
13,11
14,11
14,11
14,11
14,11
14,11
14,11
14,11
14,11
15,11
15,10
15,10
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,11
15,10
15,10
15,10
15,10
15,11
14,11
14,12
14,12
14,11
14,11
14,11
14,11
14,12
14,12
14,13
14,13
14,12
14,12
14,11
14,11
14,12
14,12
14,13
14,13
14,12
14,12
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
13,13
13,13
13,13
13,13
13,13
13,11
13,11
13,11
13,11
13,12
13,12
13,12
13,12
13,11
13,11
13,11
13,11
13,11
13,11
13,12
14,12
14,11
14,11
14,11
14,11
14,11
14,11
14,12
14,12
14,11
14,11
14,11
15,11
15,11
14,11
14,11
14,11
14,11
14,11
14,11
15,11
15,11
14,11
14,11
14,11
14,11
14,11
14,10
14,10
14,10
14,10
14,11
14,11
14,11
14,11
14,10
14,10
14,10
14,10
14,11
14,11
14,12
14,12
14,12
14,12
14,13
14,13
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,15
13,15
13,13
13,13
13,14
13,14
13,14
13,14
13,15
13,15
13,13
13,13
13,13
13,13
13,14
12,14
12,14
12,14
12,13
11,13
11,11
11,11
11,13
11,13
11,13
11,13
11,12
11,12
11,12
10,12
10,13
10,13
10,13
10,13
10,13
9,13
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,13
9,13
9,13
9,13
9,13
9,13
9,14
9,14
9,14
9,14
9,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,12
11,12
11,12
11,12
11,12
11,12
11,13
11,13
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,13
11,13
11,14
11,14
11,14
11,14
11,13
11,13
11,13
12,13
12,14
12,14
12,14
13,14
13,13
13,13
13,13
13,13
13,13
13,13
13,14
13,14
13,13
13,13
13,12
13,12
13,13
12,13
12,13
12,13
12,13
12,13
12,13
12,13
12,14
12,14
12,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,15
11,15
11,14
11,14
11,14
11,14
11,15
11,15
11,15
11,15
11,14
11,14
11,13
11,13
11,13
10,13
10,14
10,14
10,13
10,13
10,12
10,12
10,13
9,13
9,13
9,13
9,14
9,14
9,13
9,13
9,13
9,13
9,14
9,14
9,14
8,14
8,13
8,13
8,13
8,13
8,14
8,14
8,14
8,14
8,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,11
9,11
9,12
10,12
10,12
10,12
10,11
10,11
10,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
12,11
12,11
12,11
12,11
12,11
12,12
13,12
13,11
13,11
13,11
13,11
13,12
13,12
13,12
13,12
13,11
13,11
13,11
14,11
14,11
14,11
14,11
14,11
14,11
14,11
14,11
14,11
14,11
14,11
14,11
13,11
13,10
14,10
14,10
14,10
14,11
13,11
13,12
13,12
13,11
13,11
13,12
13,12
13,13
13,13
13,14
13,14
13,13
13,13
13,14
12,14
12,14
12,14
12,15
11,15
11,14
11,14
11,14
11,14
11,14
10,14
10,14
9,14
9,14
9,14
9,13
8,13
8,13
7,13
7,13
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,14
6,14
6,13
7,13
7,14
7,14
7,14
8,14
8,14
8,14
8,14
8,14
8,14
9,14
9,14
9,14
9,14
9,14
9,13
9,13
9,13
9,13
9,13
9,13
9,13
10,13
10,13
10,13
10,11
10,11
10,12
10,12
10,13
10,13
10,13
10,13
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,12
10,12
10,13
10,13
10,13
10,13
10,12
10,12
10,13
10,13
10,13
10,13
10,13
10,13
10,12
10,12
10,12
10,12
10,13
10,13
10,13
10,13
10,13
10,13
10,11
10,11
10,13
10,13
10,13
10,13
10,13
10,13
10,13
9,13
9,14
9,14
9,14
9,14
9,13
9,13
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,14
9,13
9,13
9,14
9,14
9,14
9,14
9,13
9,13
9,12
9,12
9,13
9,13
9,13
9,13
9,13
9,13
9,11
9,11
9,12
9,12
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,11
9,11
9,12
9,12
9,12
9,12
9,13
9,13
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,12
9,12
9,11
9,11
9,11
9,11
9,11
9,11
9,12
9,12
9,11
9,11
9,11
9,11
9,11
9,11
9,11
8,11
8,11
8,11
8,10
8,10
8,11
8,11
8,11
8,11
8,11
8,11
8,10
8,10
8,11
8,11
8,13
8,13
8,13
8,13
8,13
8,13
8,14
8,14
8,14
8,14
8,15
8,15
8,14
8,14
8,14
8,14
8,14
8,14
8,15
7,15
7,14
7,14
7,13
7,13
7,14
7,14
7,14
7,14
7,14
7,14
7,13
7,13
7,13
7,13
7,13
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,14
6,14
6,13
6,13
6,13
6,13
6,14
6,14
6,14
6,14
6,13
6,13
6,13
6,13
6,14
6,14
6,14
6,14
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,11
6,11
6,11
6,11
6,11
6,11
6,12
6,12
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,12
6,12
6,12
6,12
6,11
6,11
6,13
6,13
6,13
7,13
7,14
7,14
7,13
7,13
7,13
7,13
7,14
7,14
7,14
7,14
7,13
7,13
7,13
7,13
7,14
7,14
7,14
7,14
7,14
7,14
7,13
7,13
7,13
7,13
7,14
7,14
7,13
7,13
7,14
7,14
7,14
7,14
7,14
7,14
7,15
7,15
7,14
7,14
7,15
6,15
6,15
6,15
6,15
6,15
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,13
6,13
6,13
5,13
5,13
5,13
5,14
5,14
5,13
5,13
5,13
5,13
5,14
5,14
5,14
5,14
5,14
5,14
5,13
5,13
5,14
5,14
5,14
5,14
5,14
6,14
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,12
7,12
7,11
7,11
7,12
7,12
7,12
7,12
7,11
7,11
7,11
7,11
7,11
7,11
7,12
7,12
7,12
7,12
7,11
7,11
7,11
7,11
7,11
7,11
7,12
7,12
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
6,11
6,11
6,11
6,10
6,10
6,11
6,11
6,11
5,11
5,11
5,11
5,11
5,11
5,11
4,11
4,11
4,11
4,11
3,11
3,11
3,11
3,13
3,13
3,13
3,13
3,13
2,13
2,13
2,13
2,13
2,13
2,14
2,14
2,13
3,13
3,12
3,12
3,13
3,13
3,13
3,13
3,14
4,14
4,13
4,13
4,12
4,12
4,13
4,13
4,13
4,13
4,13
5,13
5,13
5,13
5,14
5,14
5,14
5,14
5,13
6,13
6,14
6,14
6,14
6,14
6,14
6,14
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,12
6,12
6,12
6,12
6,12
6,12
6,13
7,13
7,12
7,12
7,11
7,11
7,12
7,12
7,12
7,12
7,13
7,13
7,12
7,12
7,13
7,13
7,13
7,13
7,13
7,13
7,11
7,11
7,11
7,11
7,11
7,11
7,12
7,12
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,12
7,12
7,13
7,13
7,14
7,14
7,13
7,13
7,14
8,14
8,14
8,14
8,15
8,15
8,13
8,13
8,14
8,14
8,14
8,14
8,15
8,15
8,13
8,13
8,13
8,13
8,14
8,14
8,14
8,14
8,14
8,14
8,12
8,12
8,13
8,13
8,13
8,13
8,13
8,13
8,14
8,14
8,14
8,14
8,14
8,14
8,14
8,14
8,14
8,14
8,14
8,14
8,14
8,14
8,14
8,14
8,13
8,13
8,14
8,14
8,14
8,14
8,13
8,13
8,12
8,12
8,13
8,13
8,13
8,13
8,13
8,13
8,12
8,12
8,13
8,13
8,13
8,13
8,13
8,13
8,13
8,13
8,13
9,13
9,13
8,13
8,13
8,13
8,12
8,12
8,13
8,13
8,13
8,13
8,13
8,13
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,10
8,10
8,11
8,11
8,11
8,11
8,10
8,10
8,10
8,10
8,11
8,11
8,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,11
7,10
7,10
7,11
7,11
7,11
7,11
7,11
7,11
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,9
7,9
7,10
7,10
7,11
7,11
7,11
7,11
7,11
6,11
6,11
6,11
6,12
6,12
6,13
6,13
6,13
6,13
6,13
6,13
6,14
6,14
6,14
6,14
6,13
6,13
6,13
6,13
6,13
6,13
6,14
7,14
7,13
7,13
7,12
7,12
7,13
7,13
7,13
7,13
7,12
7,12
7,13
7,13
7,13
7,13
7,12
7,12
7,13
7,13
7,13
7,13
7,13
7,13
7,13
7,13
7,12
7,12
7,12
7,12
7,13
7,13
7,12
7,12
7,11
7,11
7,11
7,11
7,11
7,11
7,12
7,12
7,11
7,11
7,11
7,11
7,11
7,11
7,11
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,11
5,11
5,11
5,11
5,11
5,11
5,11
5,11
5,11
5,11
5,11
5,11
5,10
6,10
6,11
6,11
6,11
6,11
6,12
6,12
6,11
6,11
6,11
6,11
6,11
6,11
6,12
7,12
7,12
7,12
7,13
7,13
7,13
7,13
7,12
7,12
7,12
7,12
7,13
7,13
7,13
7,13
7,13
7,13
7,11
7,11
7,12
7,12
7,13
7,13
7,13
7,13
7,11
8,11
8,11
8,11
8,11
8,11
8,12
8,12
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,12
8,12
8,12
8,12
8,13
8,13
8,11
8,11
8,12
8,12
8,12
8,12
8,12
8,12
8,11
7,11
7,11
7,11
7,11
7,11
7,11
6,11
6,11
6,11
6,11
5,11
5,11
5,11
5,11
5,11
5,11
6,11
6,11
6,11
6,11
6,11
6,11
7,11
7,11
7,11
7,11
8,11
8,11
8,11
8,11
8,11
8,12
9,12
9,11
9,11
9,11
9,11
9,12
9,12
9,13
9,13
9,11
10,11
10,11
10,11
10,12
10,12
10,13
10,13
10,12
10,12
10,11
10,11
10,11
10,11
10,12
10,12
10,12
11,12
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,14
11,14
11,13
11,13
11,13
11,13
11,13
11,13
11,14
10,14
10,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
12,13
12,13
12,13
12,13
13,13
13,13
13,13
13,13
12,13
12,14
12,14
12,14
12,14
12,14
12,14
12,13
12,13
12,13
12,13
12,13
12,13
12,13
11,13
11,13
11,13
11,13
11,13
11,12
11,12
11,13
11,13
11,13
11,13
11,13
11,13
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,10
11,10
11,10
11,10
11,11
11,11
11,11
11,11
11,10
11,10
11,10
11,10
11,11
11,11
11,11
11,11
11,11
11,11
11,12
11,12
11,13
11,13
11,13
11,13
11,13
12,13
12,13
11,13
11,13
11,13
11,14
11,14
11,13
11,13
11,13
11,13
11,13
11,13
11,13
12,13
12,12
12,12
12,12
12,12
12,13
12,13
12,13
13,13
13,13
13,13
13,12
13,12
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
12,13
12,13
12,13
12,13
12,13
12,13
11,13
11,12
11,12
11,12
11,12
11,13
11,13
11,12
11,12
11,11
11,11
11,12
11,12
11,12
11,12
11,13
11,13
11,12
11,12
11,12
11,12
11,12
11,12
11,13
11,13
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,12
11,11
11,11
11,11
11,11
11,12
11,12
11,13
11,13
11,13
11,13
11,12
11,12
11,13
11,13
11,13
11,13
11,14
11,14
11,13
11,13
11,14
11,14
11,14
11,14
11,14
11,14
11,13
11,13
11,13
11,13
11,14
11,14
11,14
11,14
11,13
11,13
11,13
11,13
11,13
11,13
11,14
11,14
11,13
10,13
10,11
10,11
10,12
10,12
10,13
10,13
10,11
10,11
10,13
10,13
10,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,14
9,14
9,14
9,14
9,13
9,13
9,14
10,14
10,14
10,14
10,14
10,14
10,13
10,13
10,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,11
11,11
11,12
12,12
12,13
12,13
12,13
12,13
12,11
12,11
12,11
12,11
12,11
12,11
12,12
12,12
12,11
12,11
12,12
12,12
12,12
12,12
12,12
12,12
12,11
12,11
12,12
12,12
12,12
12,12
12,12
12,12
12,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
10,11
10,10
10,10
10,11
10,11
10,11
10,11
10,10
10,10
10,11
10,11
10,11
10,11
10,11
10,11
10,10
10,10
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
9,11
9,12
9,12
9,13
9,13
9,12
9,12
9,11
9,11
9,12
9,12
9,12
9,12
9,13
9,13
9,11
9,11
9,11
10,11
10,12
10,12
10,13
10,13
10,12
10,12
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,12
9,12
9,12
9,12
9,13
9,13
9,13
9,13
9,11
9,11
9,11
9,11
9,11
9,11
9,12
9,12
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
10,11
10,11
10,11
10,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
12,11
12,11
11,11
11,11
11,11
11,11
11,11
11,11
12,11
12,10
12,10
12,10
12,10
12,11
12,11
12,11
13,11
13,10
13,10
13,10
13,10
13,10
13,10
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
12,11
12,12
12,12
12,12
12,12
12,13
12,13
12,13
11,13
11,13
11,13
11,11
11,11
11,12
11,12
11,13
11,13
11,13
11,13
11,11
11,11
11,11
11,11
11,12
11,12
11,13
11,13
11,12
10,12
10,11
10,11
10,11
10,11
10,12
10,12
10,11
11,11
11,12
10,12
10,13
11,13
11,13
11,13
11,13
12,13
12,13
13,13
13,13
13,13
13,13
14,13
14,13
14,13
14,13
14,13
14,13
15,13
15,13
15,13
15,13
15,13
15,11
15,11
15,12
15,12
15,13
15,13
15,13
15,13
15,11
15,11
15,11
15,11
15,11
15,11
15,12
15,12
15,11
15,11
15,11
15,11
15,12
15,12
15,12
15,12
15,11
15,11
15,12
14,12
14,12
14,12
14,12
14,12
14,11
14,11
14,11
14,11
14,11
14,11
14,11
14,11
14,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,10
13,10
13,10
13,10
13,11
13,11
13,11
13,11
13,10
13,10
13,11
13,11
13,11
13,11
13,11
13,11
13,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,11
12,13
11,13
11,13
12,13
12,14
12,14
12,13
13,13
13,13
13,13
13,14
13,14
13,14
13,14
13,13
13,13
13,13
13,13
13,13
13,13
13,14
13,14
13,12
14,12
14,12
14,12
14,13
14,13
14,13
14,13
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
13,14
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
12,13
12,13
12,13
12,13
11,13
11,13
11,13
11,12
11,12
11,13
11,13
11,13
11,13
11,13
11,13
11,12
11,12
11,12
11,12
11,12
11,12
11,13
11,13
11,12
11,12
11,12
11,12
11,13
11,13
11,13
11,13
11,13
11,13
11,12
11,12
11,13
11,13
11,13
11,13
11,14
11,14
11,13
11,13
11,13
11,13
11,13
10,13
10,13
10,13
10,13
9,13
9,13
9,13
9,14
9,14
9,14
8,14
8,14
7,14
7,14
6,14
6,14
6,14
6,15
5,15
5,13
5,13
5,14
6,14
6,14
6,14
6,14
6,14
6,13
6,13
6,13
7,13
7,13
7,13
7,14
7,14
7,13
8,13
8,13
8,13
8,13
8,13
8,13
8,13
8,14
9,14
9,13
9,13
9,13
9,13
9,14
9,14
9,14
9,14
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,12
9,12
9,11
9,11
9,12
9,12
9,13
9,13
9,12
9,12
9,12
9,12
9,13
9,13
9,11
9,11
9,12
9,12
9,12
9,12
9,13
9,13
9,12
9,12
9,11
9,11
9,11
8,11
8,12
8,12
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,10
8,10
8,11
8,11
8,11
7,11
7,11
7,11
7,10
7,10
7,11
6,11
6,11
6,11
6,11
6,11
6,11
7,11
7,11
7,11
7,11
7,11
7,13
7,13
7,13
8,13
8,12
8,12
8,13
8,13
8,13
8,13
8,13
8,13
8,12
9,12
9,13
9,13
9,13
9,13
9,13
9,13
9,12
9,12
9,12
9,12
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
9,13
8,13
8,13
8,13
8,13
8,13
8,13
8,13
8,13
8,13
8,12
8,12
8,13
8,13
8,13
8,13
8,13
8,13
8,11
7,11
7,11
7,11
7,11
7,11
7,12
6,12
6,11
6,11
6,11
6,11
6,11
5,11
5,11
5,11
5,11
6,11
6,11
6,11
6,11
6,11
6,11
7,11
7,11
7,11
7,11
8,11
8,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
10,11
10,11
10,11
10,11
11,11
11,11
11,11
11,10
11,10
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,12
11,12
11,11
11,11
11,13
11,13
11,13
11,13
11,13
10,13
10,13
10,13
10,13
10,13
10,14
10,14
10,14
10,14
10,14
10,14
10,13
10,13
10,14
10,14
10,14
10,14
10,13
11,13
11,12
11,12
11,13
11,13
11,13
11,13
11,13
11,13
11,12
11,12
11,12
11,12
11,12
11,12
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
11,13
10,13
10,13
10,13
10,13
10,13
10,12
10,12
10,13
9,13
9,13
9,13
9,12
9,12
9,11
9,11
9,11
8,11
8,11
8,11
8,11
7,11
7,11
6,11
6,11
6,11
6,11
7,11
7,11
7,11
7,11
7,11
7,11
8,11
8,11
8,11
8,12
9,12
9,11
9,11
9,12
9,12
9,12
9,12
9,13
9,13
9,13
9,13
9,12
10,12
10,12
10,12
10,13
10,13
10,12
10,12
10,11
10,11
10,11
10,11
10,12
10,12
10,13
10,13
10,11
